timestamp,y_true,y_pred
2024-02-22 13:00:00+00:00,1.6624,1.6616069237398639
2024-02-22 14:00:00+00:00,1.6105,1.6176518082706877
2024-02-22 15:00:00+00:00,1.4987,1.508724536692494
2024-02-22 16:00:00+00:00,1.4364,1.445028022881453
2024-02-22 17:00:00+00:00,1.3695,1.361627342280779
2024-02-22 18:00:00+00:00,1.3009,1.2827284439634559
2024-02-22 19:00:00+00:00,1.2678,1.2424452093391636
2024-02-22 20:00:00+00:00,1.2765,1.23805462708471
2024-02-22 21:00:00+00:00,1.3201,1.2858972670640798
2024-02-22 22:00:00+00:00,1.373,1.3413100091051207
2024-02-22 23:00:00+00:00,1.3936,1.3673133412530512
2024-02-23 00:00:00+00:00,1.3573,1.3323423686923979
2024-02-23 01:00:00+00:00,1.3415,1.329759115777065
2024-02-23 02:00:00+00:00,1.4056,1.3912189797267411
2024-02-23 03:00:00+00:00,1.4419,1.426605708208434
2024-02-23 04:00:00+00:00,1.5234,1.518933700642436
2024-02-23 05:00:00+00:00,1.566,1.560144475134026
2024-02-23 06:00:00+00:00,1.5658,1.5691028550544417
2024-02-23 07:00:00+00:00,1.5573,1.5561599778666944
2024-02-23 08:00:00+00:00,1.5572,1.5558791858500112
2024-02-23 09:00:00+00:00,1.5212,1.531081917091749
2024-02-23 10:00:00+00:00,1.5187,1.5213992414015969
2024-02-23 11:00:00+00:00,1.4707,1.4819295492233366
2024-02-23 12:00:00+00:00,1.4116,1.4101600091686197
2024-02-23 13:00:00+00:00,1.3213,1.3176288073710136
2024-02-23 14:00:00+00:00,1.2142,1.2130987231080679
2024-02-23 15:00:00+00:00,1.1526,1.145530184031808
2024-02-23 16:00:00+00:00,1.0686,1.0575158233431234
2024-02-23 17:00:00+00:00,0.9996,0.9777856837409389
2024-02-23 18:00:00+00:00,0.9859,0.9757729224645255
2024-02-23 19:00:00+00:00,1.0048,1.0053723892605344
2024-02-23 20:00:00+00:00,0.9688,0.972719565647394
2024-02-23 21:00:00+00:00,0.9983,0.9956628695419274
2024-02-23 22:00:00+00:00,0.989,0.9923755510361151
2024-02-23 23:00:00+00:00,1.0082,1.0093255296648247
2024-02-24 00:00:00+00:00,1.0458,1.0532658793937109
2024-02-24 01:00:00+00:00,1.0727,1.0767697749859648
2024-02-24 02:00:00+00:00,1.1308,1.135757622613847
2024-02-24 03:00:00+00:00,1.1612,1.1734083416479628
2024-02-24 04:00:00+00:00,1.1615,1.1731362644818326
2024-02-24 05:00:00+00:00,1.2317,1.245021454749501
2024-02-24 06:00:00+00:00,1.2944,1.299667318339587
2024-02-24 07:00:00+00:00,1.3328,1.3291630299537769
2024-02-24 08:00:00+00:00,1.3793,1.3737288382828075
2024-02-24 09:00:00+00:00,1.3436,1.3485312665659193
2024-02-24 10:00:00+00:00,1.2908,1.3046771330657476
2024-02-24 11:00:00+00:00,1.2256,1.2425053248160955
2024-02-24 12:00:00+00:00,1.2063,1.2230205571509927
2024-02-24 13:00:00+00:00,1.1592,1.176213288091626
2024-02-24 14:00:00+00:00,1.1193,1.1419439641573883
2024-02-24 15:00:00+00:00,1.0917,1.1086676395593575
